Christian Code,DrugBank ID,AE(kcal/mol) 4NQC,AE(kcal/mol) 5U72,MEDIA GEO EA,SMILES,Common name
db35,DB00150,"-8,1","-7,4","-7,74",N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,L-Tryptophan
db38,DB00153,"-7,8","-8,9","-8,33",CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Ergocalciferol
db42,DB00157,-9,"-9,4","-9,20",NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,NADH
db43,DB00158,"-7,9","-8,5","-8,19",NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,Folic acid
db48,DB00163,-8,"-7,3","-7,64",CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,Vitamin E
db52,DB00168,"-7,5","-7,5","-7,50",COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,Aspartame
db53,DB00169,-7,"-8,3","-7,62",CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Cholecalciferol
db54,DB00170,"-9,7","-8,2","-8,92",CC1=CC(=O)C2=CC=CC=C2C1=O,Menadione
db59,DB00175,"-8,1","-7,4","-7,74",[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,Pravastatin
db62,DB00178,"-8,3","-8,6","-8,45",[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,Ramipril
db63,DB00179,"-9,1","-7,5","-8,26",C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,Masoprocol
db74,DB00192,"-7,5","-8,1","-7,79",CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,Indecainide
db79,DB00197,"-8,2","-9,6","-8,87",CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,Troglitazone
db83,DB00203,"-7,9","-8,3","-8,10",CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1,Sildenafil
db86,DB00206,"-7,7","-7,8","-7,75",[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,Reserpine
db88,DB00210,"-7,8","-8,9","-8,33",COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,Adapalene
db90,DB00213,"-7,6","-7,7","-7,65",COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,Pantoprazole
db91,DB00214,"-8,6","-8,5","-8,55",CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,Torasemide
db92,DB00215,"-6,4","-9,2","-7,67",CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,Citalopram
db93,DB00216,"-7,6",-9,"-8,27",CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,Eletriptan
db95,DB00218,"-6,4","-8,8","-7,50",[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,Moxifloxacin
db97,DB00220,"-8,8","-8,5","-8,65",[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,Nelfinavir
db99,DB00223,"-6,6","-8,7","-7,58",[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Diflorasone
db100,DB00224,"-8,1","-9,3","-8,68",CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,Indinavir
db102,DB00227,"-6,9","-9,1","-7,92",[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,Lovastatin
db106,DB00231,"-6,8","-9,5","-8,04",CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,Temazepam
db110,DB00235,"-8,9","-7,5","-8,17",CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,Milrinone
db114,DB00239,"-7,5","-8,6","-8,03",ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,Oxiconazole
db118,DB00243,"-7,7","-8,3","-7,99",COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,Ranolazine
db120,DB00246,"-8,8","-8,9","-8,85",ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,Ziprasidone
db121,DB00247,-8,-8,"-8,00",[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,Methysergide
db124,DB00250,"-7,9","-7,4","-7,65",NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,Dapsone
